id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,num_sources,flux_integrated,outlier_flag
   1.00000,  15.98797,  15.85485,   0.79912,   0.05582,   0.01319,  25.00000,   0.00000,2401.27855, 149.96448,  -5.43884,   2.00000,68066.11904,   0.00000
   1.00000,  15.92373,  15.97415,   0.80663,   0.06330,  -0.00973,  25.00000,   0.00000,2456.97053, 154.45044,  -5.47156,   2.00000,68129.00936,   0.00000
   1.00000,  15.96117,  15.97230,   0.80695,   0.05722,  -0.00691,  25.00000,   0.00000,2464.59540, 154.18493,  -5.46967,   2.00000,68159.74395,   0.00000
   1.00000,  15.99699,  15.96331,   0.80860,   0.05050,  -0.00015,  25.00000,   0.00000,2477.53013, 154.70239,  -5.47326,   2.00000,68176.62436,   0.00000
   1.00000,  16.02468,  15.95042,   0.80754,   0.04496,   0.00010,  25.00000,   0.00000,2478.27734, 155.00409,  -5.47552,   2.00000,68209.90656,   0.00000
   1.00000,  16.01643,  15.95850,   0.80802,   0.04877,   0.00185,  25.00000,   0.00000,2477.84142, 155.01387,  -5.47557,   2.00000,68165.27115,   0.00000
   1.00000,  16.01189,  15.94550,   0.80825,   0.04928,   0.00137,  25.00000,   0.00000,2478.05651, 154.30624,  -5.47061,   2.00000,68174.49242,   0.00000
   1.00000,  16.00385,  15.94634,   0.80839,   0.05363,   0.00357,  25.00000,   0.00000,2477.75012, 154.87469,  -5.47439,   2.00000,68220.96215,   0.00000
   1.00000,  16.00546,  15.97941,   0.80771,   0.05245,   0.00054,  25.00000,   0.00000,2477.91632, 153.92936,  -5.46780,   2.00000,68205.32994,   0.00000
   1.00000,  16.02025,  15.93380,   0.80751,   0.04622,   0.00306,  25.00000,   0.00000,2473.25801, 154.45107,  -5.47159,   1.98438,68183.43415,   0.00000
   1.00000,  16.01726,  15.93566,   0.80732,   0.04964,   0.00410,  25.00000,   0.00000,2478.33258, 155.60762,  -5.47949,   2.00000,68288.70556,   0.01562
   1.00000,  16.00702,  15.93723,   0.80782,   0.05217,   0.00292,  25.00000,   0.00000,2476.18541, 154.43217,  -5.47139,   2.00000,68269.72671,   0.00000
   1.00000,  16.02604,  15.91290,   0.80558,   0.04516,   0.00609,  25.00000,   0.00000,2460.78724, 154.44996,  -5.47156,   2.00000,68216.84448,   0.00000
